Team,Number,Name,Position,GP,G,A,PTS,PIM
Air Force Academy 4586.Html,22,Chris Hedden,D,38,8,29,37,37
Air Force Academy 4586.Html,37,Will Gavin,L,38,19,17,36,24
Air Force Academy 4586.Html,4,Luke Rowe,D,35,6,23,29,70
Air Force Academy 4586.Html,26,Clayton Cosentino,F,38,10,18,28,6
Air Force Academy 4586.Html,17,Parker Brown,F,37,8,13,21,27
Air Force Academy 4586.Html,10,Austin Schwartz,F,38,10,9,19,10
Air Force Academy 4586.Html,13,Mason McCormick,F,38,6,9,15,44
Air Force Academy 4586.Html,18,Holt Oliphant,F,38,10,4,14,10
Air Force Academy 4586.Html,82,Andrew DeCarlo,F,32,5,9,14,12
Air Force Academy 4586.Html,64,Brendan Gibbons,R,33,7,5,12,14
Air Force Academy 4586.Html,6,Owen Baumgartner,D,24,4,6,10,12
Air Force Academy 4586.Html,27,Luke Robinson,D,38,2,7,9,32
Air Force Academy 4586.Html,44,William Staring,D,33,1,8,9,20
Air Force Academy 4586.Html,7,Brian Adams,L,30,2,6,8,4
Air Force Academy 4586.Html,24,Nathan Horn,F,33,3,4,7,12
Air Force Academy 4586.Html,16,Sam Brennan,D,36,3,4,7,16
Air Force Academy 4586.Html,15,Owen Dubois,F,30,4,2,6,6
Air Force Academy 4586.Html,19,Nicholas Remissong,C,34,1,5,6,19
Air Force Academy 4586.Html,9,Lucas Coon,F,11,3,2,5,2
Air Force Academy 4586.Html,20,Nolan Cunningham,D,26,0,5,5,2
Air Force Academy 4586.Html,28,Mitchell Digby,D,27,2,1,3,11
Air Force Academy 4586.Html,14,Jacob Marti,F,15,1,1,2,21
Air Force Academy 4586.Html,11,Samuel Jacobs,F,1,0,0,0,0
Air Force Academy 4586.Html,35,Carter Clafton,G,2,0,0,0,0
Air Force Academy 4586.Html,29,Jasper Lester,D,2,0,0,0,0
Air Force Academy 4586.Html,12,James Callahan,D,2,0,0,0,0
Air Force Academy 4586.Html,51,Maiszon Balboa,G,5,0,0,0,0
Air Force Academy 4586.Html,8,Ethan Ullrick,R,7,0,0,0,15
Air Force Academy 4586.Html,1,Guy Blessing,G,38,0,0,0,0
Albertus Magnus College 12798.Html,26,Tyler Ignazzitto,F,25,3,17,20,12
Albertus Magnus College 12798.Html,37,Sam Anderson,F,25,11,8,19,12
Albertus Magnus College 12798.Html,12,Tim Manning,F,25,7,10,17,8
Albertus Magnus College 12798.Html,22,Cameron Weitzman,F,25,7,9,16,12
Albertus Magnus College 12798.Html,4,Zane Kindrachuk,F,19,7,7,14,2
Albertus Magnus College 12798.Html,21,Caden Pattison,F,24,6,8,14,54
Albertus Magnus College 12798.Html,5,Harley Michaels,D,25,1,12,13,27
Albertus Magnus College 12798.Html,25,J.J. Berdal,D,23,5,7,12,20
Albertus Magnus College 12798.Html,23,Gustav Muller,F,22,4,7,11,20
Albertus Magnus College 12798.Html,2,Charles Lavoie,F,24,4,7,11,22
Albertus Magnus College 12798.Html,14,Will Lavigne,D,25,4,7,11,14
Albertus Magnus College 12798.Html,6,Connor Bertamini,D,23,3,7,10,22
Albertus Magnus College 12798.Html,28,Zeth Kindrachuk,L,23,8,1,9,14
Albertus Magnus College 12798.Html,7,Sam Witt,D,22,1,7,8,19
Albertus Magnus College 12798.Html,17,Paden Hicks,C,17,5,1,6,8
Albertus Magnus College 12798.Html,8,Robert Barrasso,L,15,1,5,6,12
Albertus Magnus College 12798.Html,18,Kyle Dann,F,23,2,3,5,9
Albertus Magnus College 12798.Html,11,Bailey Kirwin,C,18,1,3,4,4
Albertus Magnus College 12798.Html,10,Eric Chamandy,D,20,1,3,4,7
Albertus Magnus College 12798.Html,13,Aidan Patterson,F,12,2,0,2,2
Albertus Magnus College 12798.Html,20,Jeremy Tremblay,R,6,1,1,2,2
Albertus Magnus College 12798.Html,3,Ryan Herpy,D,25,1,1,2,6
Albertus Magnus College 12798.Html,30,Logan Bateman,G,23,0,2,2,2
Albertus Magnus College 12798.Html,9,Kyler Campbell,F,1,0,0,0,0
Albertus Magnus College 12798.Html,16,Ryan Colwell,R,1,0,0,0,0
Albertus Magnus College 12798.Html,1,Shane Peremba,G,1,0,0,0,0
Albertus Magnus College 12798.Html,39,Lucas Ehrlich,G,2,0,0,0,0
Albertus Magnus College 12798.Html,99,Carson Ironside,G,3,0,0,0,0
Albertus Magnus College 12798.Html,19,Spencer Silver,L,5,0,0,0,2
Albertus Magnus College 12798.Html,24,Nick Durajlija,D,10,0,0,0,15
American International College 4631.Html,9,Dustin Manz,F,39,7,24,31,28
American International College 4631.Html,11,Julius Janhonen,C,40,5,19,24,27
American International College 4631.Html,19,Jordan Biro,L,39,7,16,23,4
American International College 4631.Html,21,John Lundy,L,26,14,8,22,25
American International College 4631.Html,28,Alfred Lindberg,C,20,11,11,22,6
American International College 4631.Html,7,Brian Kramer,D,35,10,12,22,35
American International College 4631.Html,25,Alexander Malinowski,C,27,9,11,20,23
American International College 4631.Html,55,Brett Rylance,F,38,6,14,20,31
American International College 4631.Html,44,Austen Long,F,38,8,8,16,27
American International College 4631.Html,24,Blake Wells,F,32,4,6,10,12
American International College 4631.Html,4,Brett Callahan,D,37,4,6,10,10
American International College 4631.Html,17,Oscar Geschwind,C,32,2,8,10,8
American International College 4631.Html,2,Nico Somerville,D,40,4,5,9,12
American International College 4631.Html,5,Tomi Leppanen,D,40,3,6,9,39
American International College 4631.Html,37,Evan Stella,D,40,3,5,8,37
American International College 4631.Html,61,Casey McDonald,R,31,4,3,7,22
American International College 4631.Html,3,Logan Jenuwine,C,23,1,6,7,12
American International College 4631.Html,39,Dario Beljo,F,16,2,4,6,12
American International College 4631.Html,6,Matt Rickard,D,25,2,4,6,8
American International College 4631.Html,22,Timofei Khokhlachev,L,12,3,2,5,14
American International College 4631.Html,27,Josh Barnes,C,22,3,2,5,2
American International College 4631.Html,23,Theo Angesved,D,15,2,2,4,2
American International College 4631.Html,15,Casper Soderling,D,12,1,3,4,2
American International College 4631.Html,8,Hunter Jones,F,14,0,4,4,4
American International College 4631.Html,13,Grayson Dietrich,F,19,2,1,3,18
American International College 4631.Html,9,Hunter Longhi,F,8,1,2,3,0
American International College 4631.Html,16,Andrew Amousse,L,10,1,0,1,4
American International College 4631.Html,18,Akseli Pennanen,F,7,0,1,1,0
American International College 4631.Html,30,Cole Hudson,G,1,0,0,0,0
American International College 4631.Html,26,Jake Sacratini,F,2,0,0,0,0
American International College 4631.Html,14,Douglas Andersson,R,7,0,0,0,6
American International College 4631.Html,1,Alexander Aslanidis,G,9,0,0,0,0
American International College 4631.Html,29,Darwin Lakoduk,L,12,0,0,0,4
American International College 4631.Html,34,Nils Wallstrom,G,33,0,0,0,0
Amherst College 4632.Html,25,Ryan Tucker,F,25,16,12,28,23
Amherst College 4632.Html,9,Joshua Burke,F,25,10,14,24,2
Amherst College 4632.Html,20,Benjamin Kuzma,R,20,12,7,19,10
Amherst College 4632.Html,12,Tyler Bourque,F,25,4,12,16,6
Amherst College 4632.Html,15,Zachary Murray,F,22,6,8,14,14
Amherst College 4632.Html,21,Vincent Velocci,C,24,5,9,14,12
Amherst College 4632.Html,24,Quinton Fox,F,25,5,9,14,2
Amherst College 4632.Html,2,Ben Ritter,D,25,4,7,11,16
Amherst College 4632.Html,41,Matthew Toporowski,F,15,4,6,10,17
Amherst College 4632.Html,3,Matt VanderVort,F,21,2,8,10,6
Amherst College 4632.Html,4,Zachary Jesse,D,25,1,8,9,8
Amherst College 4632.Html,19,Bobby Luca,F,23,3,5,8,2
Amherst College 4632.Html,28,Connor Guest,F,23,5,2,7,10
Amherst College 4632.Html,18,Andrew Carmody,D,20,3,4,7,6
Amherst College 4632.Html,10,Max Thiessen,D,23,1,5,6,4
Amherst College 4632.Html,7,Jacob Pohl,F,16,2,2,4,0
Amherst College 4632.Html,27,Michael Gallagher,D,24,1,3,4,4
Amherst College 4632.Html,5,Spencer Kimball,D,25,1,3,4,4
Amherst College 4632.Html,16,Connor McGinnis,D,21,0,3,3,27
Amherst College 4632.Html,11,Alton Machen,F,14,0,2,2,19
Amherst College 4632.Html,13,Ryan Corcoran,C,22,1,0,1,8
Amherst College 4632.Html,14,Sergei Leonov,F,1,0,1,1,2
Amherst College 4632.Html,6,Oscar Smink,F,8,0,1,1,2
Amherst College 4632.Html,1,Connor Leslie,G,12,0,1,1,0
Amherst College 4632.Html,30,Andrew Palena,G,3,0,0,0,0
Amherst College 4632.Html,8,Quinton Gove,D,6,0,0,0,0
Amherst College 4632.Html,33,Alex Wisco,G,14,0,0,0,0
Anna Maria College 12575.Html,18,Braeden McKinnon,F,25,13,8,21,18
Anna Maria College 12575.Html,28,Guillaume Coulombe,C,25,11,10,21,18
Anna Maria College 12575.Html,27,Derek Raposo,D,25,8,11,19,34
Anna Maria College 12575.Html,12,Brandon Della Paolera,F,24,8,8,16,12
Anna Maria College 12575.Html,25,Matthew Gilbert,R,25,10,5,15,37
Anna Maria College 12575.Html,10,Pearce Baker,D,25,3,12,15,16
Anna Maria College 12575.Html,15,Max Wennerberg,L,23,8,5,13,22
Anna Maria College 12575.Html,9,Cam Tobey,F,23,3,9,12,22
Anna Maria College 12575.Html,37,Samson Mouland,R,24,5,3,8,38
Anna Maria College 12575.Html,7,Nicholas Frederick,C,25,3,4,7,10
Anna Maria College 12575.Html,44,Christopher Friberg,R,17,0,7,7,2
Anna Maria College 12575.Html,19,Bryden Sinclair,D,22,2,4,6,31
Anna Maria College 12575.Html,39,Justin Taylor,D,25,1,5,6,12
Anna Maria College 12575.Html,8,Matthew Byrne,F,7,3,2,5,0
Anna Maria College 12575.Html,20,Spencer Carpenter,C,20,3,2,5,28
Anna Maria College 12575.Html,23,Giovanni Perillo,R,13,3,1,4,2
Anna Maria College 12575.Html,17,August Bouveng,C,21,1,3,4,13
Anna Maria College 12575.Html,5,Caleb Cathcart,F,18,1,2,3,10
Anna Maria College 12575.Html,22,Sean McWhinnie,F,20,0,2,2,4
Anna Maria College 12575.Html,14,Jeremy Dewar,D,19,1,0,1,2
Anna Maria College 12575.Html,30,Cole Johnston,G,7,0,1,1,2
Anna Maria College 12575.Html,16,Max Pelletier,C,10,0,1,1,8
Anna Maria College 12575.Html,2,Mkyllan Couture,D,10,0,1,1,14
Anna Maria College 12575.Html,47,Stirling Nash,F,14,0,1,1,0
Anna Maria College 12575.Html,40,Matthew Hennessey,G,17,0,1,1,0
Anna Maria College 12575.Html,31,Connor Bradford,G,3,0,0,0,0
Anna Maria College 12575.Html,11,Mark Andre,D,4,0,0,0,0
Anna Maria College 12575.Html,6,Tyler Lyewski,D,14,0,0,0,0
Arizona State University 11663.Html,61,Lukas Sillinger,L,38,11,37,48,10
Arizona State University 11663.Html,27,Timothy Lovell,D,36,5,32,37,48
Arizona State University 11663.Html,28,Matthew Kopperud,F,38,23,13,36,45
Arizona State University 11663.Html,82,Charlie Schoen,R,33,8,16,24,31
Arizona State University 11663.Html,11,Benji Eckerle,F,35,5,15,20,12
Arizona State University 11663.Html,26,Brian Chambers,F,38,4,16,20,35
Arizona State University 11663.Html,59,Tyler Gratton,R,36,12,6,18,18
Arizona State University 11663.Html,14,Ty Jackson,F,21,6,12,18,14
Arizona State University 11663.Html,25,Kyle Smolen,F,36,7,9,16,59
Arizona State University 11663.Html,39,Ryan O'Reilly,R,37,9,6,15,18
Arizona State University 11663.Html,20,Jackson Niedermayer,F,33,9,4,13,10
Arizona State University 11663.Html,9,Anthony Dowd,D,36,3,10,13,12
Arizona State University 11663.Html,15,Dylan Jackson,F,15,7,4,11,18
Arizona State University 11663.Html,53,Ryan Alexander,C,27,3,7,10,10
Arizona State University 11663.Html,2,Brandon Tabakin,D,36,2,8,10,13
Arizona State University 11663.Html,21,Alex Young,C,37,6,3,9,8
Arizona State University 11663.Html,16,Ethan Szmagaj,D,37,3,4,7,29
Arizona State University 11663.Html,5,Ty Murchison,D,37,3,4,7,62
Arizona State University 11663.Html,24,Joshua Niedermayer,D,19,0,4,4,2
Arizona State University 11663.Html,29,Cole Gordon,F,30,3,0,3,23
Arizona State University 11663.Html,89,Anthony Achille,L,12,0,3,3,7
Arizona State University 11663.Html,13,Cade Alami,D,14,0,2,2,16
Arizona State University 11663.Html,10,Tucker Ness,D,18,0,2,2,60
Arizona State University 11663.Html,43,Cole Helm,F,6,0,1,1,17
Arizona State University 11663.Html,17,Matt Romer,F,7,0,1,1,0
Arizona State University 11663.Html,35,T.J. Semptimphelter,G,26,0,1,1,2
Arizona State University 11663.Html,18,David Hymovitch,F,2,0,0,0,0
Arizona State University 11663.Html,1,Chase Hamm,G,2,0,0,0,0
Arizona State University 11663.Html,31,Gibson Homer,G,14,0,0,0,0
Army 4662.Html,23,Joey Baez,F,32,15,16,31,14
Army 4662.Html,19,Max Itagaki,F,34,6,19,25,31
Army 4662.Html,28,Brent Keefer,F,34,13,11,24,30
Army 4662.Html,2,Mac Gadowsky,D,28,4,19,23,8
Army 4662.Html,13,Michael Sacco,C,34,6,16,22,54
Army 4662.Html,4,John Driscoll,D,35,5,16,21,16
Army 4662.Html,8,Ricky Lyle,F,34,10,9,19,33
Army 4662.Html,12,Jake Hewitt,F,35,7,10,17,6
Army 4662.Html,9,Nikolas Hong,F,35,7,10,17,14
Army 4662.Html,6,Pierce Patterson,D,31,4,6,10,8
Army 4662.Html,17,Vincent Salice,F,34,4,6,10,12
Army 4662.Html,25,Barron Woodring,C,31,5,3,8,16
Army 4662.Html,16,Hunter McCoy,C,25,1,4,5,8
Army 4662.Html,22,Jude Brower,D,15,0,4,4,7
Army 4662.Html,3,Easton Zueger,D,21,1,2,3,4
Army 4662.Html,15,Lucus Kanta,F,28,1,2,3,8
Army 4662.Html,14,Owen Nolan,D,21,0,3,3,16
Army 4662.Html,20,Sean Vlasich,D,28,0,3,3,6
Army 4662.Html,24,Andrew Garby,D,10,2,0,2,2
Army 4662.Html,27,Trevor Smith,C,12,1,1,2,2
Army 4662.Html,21,Stephen Willey,F,20,1,1,2,0
Army 4662.Html,29,Eric Huss,F,15,0,1,1,4
Army 4662.Html,31,Evan Szary,G,26,0,1,1,0
Army 4662.Html,11,Josh Bohlin,C,1,0,0,0,2
Army 4662.Html,26,Joseph Dosan,F,2,0,0,0,0
Army 4662.Html,10,Jake Felker,F,14,0,0,0,19
Army 4662.Html,5,Jon Bell,D,18,0,0,0,15
Army 4662.Html,1,Gavin Abric,G,19,0,0,0,0
Army 4662.Html,7,Andrew Gilbert,D,33,0,0,0,10
Augsburg College 4690.Html,17,Erik Palmqvist,F,25,7,15,22,22
Augsburg College 4690.Html,29,Daniel Chladek,F,25,9,10,19,32
Augsburg College 4690.Html,27,Cade Stibbe,R,26,7,12,19,10
Augsburg College 4690.Html,25,Fritz Belisle,F,26,5,13,18,20
Augsburg College 4690.Html,9,Landon Parker,L,26,5,13,18,21
Augsburg College 4690.Html,22,Kyler Yeo,F,26,6,7,13,12
Augsburg College 4690.Html,19,Nick Catalano,F,25,9,3,12,2
Augsburg College 4690.Html,20,Peyton Hanson,F,26,6,6,12,6
Augsburg College 4690.Html,21,Michael Ferrandino,D,24,3,8,11,14
Augsburg College 4690.Html,11,Luke Mountain,F,26,3,6,9,12
Augsburg College 4690.Html,23,Jake Hale,C,24,2,7,9,4
Augsburg College 4690.Html,4,Gunnar Williams,D,12,1,7,8,2
Augsburg College 4690.Html,6,Logan Kons,D,26,0,8,8,14
Augsburg College 4690.Html,7,Dylan Schneider,F,25,4,2,6,2
Augsburg College 4690.Html,5,Vincent Weis,D,26,2,3,5,25
Augsburg College 4690.Html,15,Duke Kiffin,D,25,0,4,4,12
Augsburg College 4690.Html,3,Tommy Carls,F,20,3,0,3,4
Augsburg College 4690.Html,8,James Miller,D,24,0,3,3,4
Augsburg College 4690.Html,26,Blaine Warnert,F,14,1,0,1,10
Augsburg College 4690.Html,10,Konnor Carlson,L,18,1,0,1,14
Augsburg College 4690.Html,14,Jake Osiecki,D,9,0,1,1,6
Augsburg College 4690.Html,35,Samuel Vyletelka,G,26,0,1,1,0
Augsburg College 4690.Html,30,Josh Koziol,G,1,0,0,0,0
Augsburg College 4690.Html,16,Zach Carson,D,2,0,0,0,0
Augustana University 13202.Html,17,Ryan Naumovski,F,34,8,17,25,61
Augustana University 13202.Html,15,Luke Mobley,F,34,12,7,19,63
Augustana University 13202.Html,10,Arnaud Vachon,F,34,8,8,16,68
Augustana University 13202.Html,20,Uula Ruikka,D,29,5,9,14,82
Augustana University 13202.Html,9,Hayden Hennen,D,32,4,10,14,64
Augustana University 13202.Html,8,Ben Troumbly,C,28,5,8,13,31
Augustana University 13202.Html,72,Brett Meerman,F,29,3,10,13,37
Augustana University 13202.Html,81,Owen Bohn,L,31,6,6,12,51
Augustana University 13202.Html,21,Quinn Rudrud,F,29,5,7,12,53
Augustana University 13202.Html,27,Chase Brand,F,30,5,7,12,36
Augustana University 13202.Html,24,Colton Friesen,C,24,3,8,11,36
Augustana University 13202.Html,7,Evan McIntyre,D,34,3,8,11,31
